Timestamp,rpm,pressure_mb,temp_c,humidity_pct
2026-02-15 11:27:53,10.0,1006.3,23.6,48.1,40.0
2026-02-15 11:27:54,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:27:55,10.0,1005.8,23.6,48.1,40.0
2026-02-15 11:27:56,10.0,1005.7,23.6,48.1,40.0
2026-02-15 11:27:57,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:27:58,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:27:59,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:00,10.0,1006.3,23.6,48.1,40.0
2026-02-15 11:28:01,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:02,10.0,1005.8,23.6,48.1,40.0
2026-02-15 11:28:03,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:04,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:05,10.0,1005.8,23.6,48.1,40.0
2026-02-15 11:28:06,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:07,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:08,10.0,1006.3,23.6,48.1,40.0
2026-02-15 11:28:09,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:10,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:11,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:12,10.0,1006.0,23.6,48.1,40.0
2026-02-15 11:28:13,10.0,1005.8,23.6,48.1,50.0
2026-02-15 11:28:14,10.0,1005.8,23.6,48.1,50.0
2026-02-15 11:28:15,10.0,1005.8,23.6,48.1,50.0
2026-02-15 11:28:16,10.0,1005.8,23.6,48.1,50.0
2026-02-15 11:28:17,10.0,1006.0,23.6,48.1,50.0
2026-02-15 11:28:18,10.0,1006.3,23.6,48.1,50.0
2026-02-15 11:28:19,10.0,1005.8,23.5,48.1,50.0
2026-02-15 11:28:20,10.0,1006.3,23.5,48.1,50.0
2026-02-15 11:28:21,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:22,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:23,10.0,1005.8,23.5,48.1,50.0
2026-02-15 11:28:24,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:25,10.0,1006.0,23.6,48.1,50.0
2026-02-15 11:28:26,20.0,1006.3,23.6,48.1,50.0
2026-02-15 11:28:27,10.0,1006.0,23.6,48.1,50.0
2026-02-15 11:28:28,10.0,1006.0,23.6,48.1,50.0
2026-02-15 11:28:29,10.0,1006.3,23.6,48.1,50.0
2026-02-15 11:28:30,10.0,1006.0,23.5,48.1,50.0
2026-02-15 11:28:31,10.0,1006.3,23.5,48.1,50.0
