merge_timestamp,imet_Timestamp,imet_pressure,imet_temp,imet_rel_hum,imet_hum_temp,imet_date,imet_time,imet_longitude,imet_latitude,imet_altitude,imet_sat,pom_Timestamp,pom_Ozone_ppb,pom_Cell_Temperature_K,pom_Cell_Pressure_torr,pom_Photodiode_Voltage_V,pom_Power_Supply_V,pom_Latitude,pom_Longitude,pom_Altitude_m,pom_GPS_Quality,pom_Date,pom_Time,trisonica_Timestamp,trisonica_Wind_Speed,trisonica_Wind_Direction,trisonica_U_Vector,trisonica_V_Vector,trisonica_W_Vector,trisonica_Temperature,trisonica_Relative_Humidity,trisonica_Pressure,trisonica_Compass_Heading,trisonica_Pitch,trisonica_Roll,spectro_Timestamp,spectro_peak_wavelength,spectro_max_intensity,spectro_total_points,spectro_status
2025-12-04 10:28:34,2025-12-04 10:28:33,1007.45,+2198,3.35,+2305,2015/10/18,00:21:36,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:34,00.07,102,-00.07,00.01,00.02,22.87,37.89,1006.86,-179.1,180.0,022,,,,,
2025-12-04 10:28:35,2025-12-04 10:28:34,1007.45,+2195,3.36,+2304,2015/10/18,00:21:37,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:35,00.07,077,-00.07,-00.02,00.02,22.83,37.87,1006.88,-179.0,179.9,022,2025-12-04 10:28:34,418.0962,2055.00,2048,success
2025-12-04 10:28:36,2025-12-04 10:28:35,1007.45,+2196,3.36,+2305,2015/10/18,00:21:38,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:36,00.04,102,-00.03,00.01,00.03,22.87,37.91,1006.87,-179.0,180.0,015,2025-12-04 10:28:35,418.0962,2040.00,2048,success
2025-12-04 10:28:37,2025-12-04 10:28:36,1007.46,+2197,3.36,+2304,2015/10/18,00:21:39,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:37,00.05,049,-00.03,-00.03,00.02,22.73,37.92,1006.87,-179.1,180.0,019,2025-12-04 10:28:36,418.0962,2044.00,2048,success
2025-12-04 10:28:38,2025-12-04 10:28:37,1007.44,+2196,3.36,+2304,2015/10/18,00:21:40,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:38,00.03,010,-00.00,-00.01,00.03,22.80,37.94,1006.85,-179.0,180.0,017,2025-12-04 10:28:38,418.0962,2043.00,2048,success
2025-12-04 10:28:39,2025-12-04 10:28:38,1007.46,+2199,3.36,+2305,2015/10/18,00:21:41,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:39,00.03,214,00.01,00.01,00.02,22.74,37.95,1006.89,-179.0,180.0,022,2025-12-04 10:28:39,418.0962,2048.00,2048,success
2025-12-04 10:28:40,2025-12-04 10:28:39,1007.42,+2196,3.36,+2305,2015/10/18,00:21:42,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:40,00.03,340,00.01,-00.02,00.00,22.57,37.95,1006.86,-179.0,180.0,021,2025-12-04 10:28:40,418.0962,2040.00,2048,success
2025-12-04 10:28:41,2025-12-04 10:28:40,1007.46,+2198,3.37,+2304,2015/10/18,00:21:43,+0000000000,+0000000000,-00017000,00,2025-12-04 10:28:40,20.7,308.7,741.0,1.4219,12.2,0000.00000,00000.00000,0.0,0,04/12/25,10:30:00,2025-12-04 10:28:41,00.01,215,00.01,00.01,00.00,22.69,38.00,1006.86,-179.0,179.9,019,2025-12-04 10:28:41,418.0962,2052.00,2048,success
2025-12-04 10:28:42,2025-12-04 10:28:41,1007.44,+2196,3.37,+2305,2015/10/18,00:21:44,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:42,00.04,309,00.02,-00.02,00.02,22.82,37.94,1006.87,-179.0,180.0,023,2025-12-04 10:28:42,418.0962,2035.00,2048,success
2025-12-04 10:28:43,2025-12-04 10:28:42,1007.47,+2197,3.37,+2304,2015/10/18,00:21:45,+0000000000,+0000000000,-00017000,00,,,,,,,,,,,,,2025-12-04 10:28:43,00.06,261,00.06,00.01,00.00,23.01,37.99,1006.88,-179.0,179.9,023,2025-12-04 10:28:43,418.0962,2043.00,2048,success
